latitude,longitude,altitude,geometry,coordinates,@id,name,ref:FFVL,free_flying:hanggliding,free_flying:paragliding,free_flying:site,leisure,sport,surface,type,website,landuse,note,access,ele,free_flying:official,free_flying:site_orientation,lit,network,operator,ref,source,free_flying:tandem,free_flying:network,natural,alt_name,wheelchair,building,building:levels,free_flying:retail,free_flying:school,club,phone,free_flying:rigid,area,aircraft,contact:website,source:date,free_flying:guest-guidelines,free_flying:no-flight-time,description,intermittent,inscription,fixme,crop,free_flying:ground_handling,name:en,free_flying,free_flying:orientation,free_flying:club,orientation,covered,fee,indoor,source:website,aeroway,mapillary,aircraft:type,aircraft:type2,length,width,abandoned:leisure,official_name,local_ref,free_flying:shop,shop,opening_hours:signed,description:it,operator:website,tourism,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,fixme2,board_type,check_date,information,communication:radio,frequency,height,man_made,tower:construction,tower:type,contact:webcam,display:digital,monitoring:weather,recording:automated,recording:remote,weather:anemometer,weather:thermometer,weather:wind_vane,amenity,email,fax,free_flying:repair,ref:FR:SIRET,contact:facebook
,,,Polygon,"5.8408408,45.2655933,5.8409009,45.2655542,5.841149,45.2653421,5.8423777,45.2661727,5.8419243,45.2665081,5.8408408,45.2655933",way/27237240,Atterissage FFVL de Saint-Nazaire-les-Eymes,,,yes,landing,pitch,free_flying,grass,,,,Risque de gradiant,yes,459,yes,,no,FFVL,Club Des Hommes Volants Du Dauphine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.1177187,45.541682,6.1169052,45.5409202,6.1172796,45.5406298,6.1182797,45.5412109,6.1177187,45.541682",way/27237348,Atterrissage FFVL des Iles,73A015A,,yes,landing,pitch,free_flying,grass,,,,,yes,270,yes,,no,FFVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.1070432,45.3937381,6.1069474,45.3938063,6.106832,45.3937837,6.1066202,45.3938953,6.1063683,45.3937483,6.1064937,45.3934988,6.1070432,45.3937381",way/27237403,Décollage de Malatrait,,,,takeoff,pitch,free_flying,grass,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.8876016,45.3070535,5.887408,45.3067252,5.8880023,45.3065447,5.8881847,45.3068779,5.8876016,45.3070535",way/35093655,Décollage FFVL Nord,38D022A,,yes,takeoff,pitch,free_flying,,,,,,yes,950,yes,,no,FFVL,,,https://intranet.ffvl.fr/sites_pratique/voir/1255,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.051207,45.8122956,6.0513492,45.8119367,6.051486,45.8119666,6.0518749,45.812061,6.0523148,45.8121816,6.0527278,45.8122938,6.0528928,45.812348,6.0530336,45.8124134,6.0532274,45.812513,6.0533119,45.8125508,6.0533159,45.8125686,6.0531429,45.8125873,6.0529974,45.8126172,6.0528626,45.8126541,6.0527882,45.8126807,6.0527506,45.8126602,6.0526581,45.8126265,6.0523738,45.8125583,6.051207,45.8122956",way/35962098,Atterissage parapente FFVL de Viuz-la-Chiesaz,,,yes,landing,pitch,free_flying,grass,,,,,yes,565,yes,,no,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.5223968,44.2201909,5.5217249,44.2203467,5.5208462,44.2203815,5.5208811,44.2198864,5.5224502,44.2196028,5.5223968,44.2201909",way/37079017,Atterrissage de Villefranche,,,yes,landing,pitch,free_flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.475519,44.2244505,5.4755324,44.2243469,5.4755933,44.2242689,5.4757091,44.2242141,5.4758042,44.2243025,5.4757091,44.22447,5.475519,44.2244505",way/37079178,,,,yes,takeoff,pitch,free_flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.3718056,44.4429864,6.3715471,44.4429548,6.3716122,44.4426424,6.3715192,44.4419561,6.3717889,44.4419487,6.3722036,44.4420361,6.3718056,44.4429864",way/37080025,Atterrissage de Saint-Vincent-les-Forts,,,yes,landing,pitch,free_flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.3714149,44.4433649,6.3714279,44.4431932,6.3717197,44.4432047,6.3716753,44.4433779,6.3714149,44.4433649",way/37080026,Décollage de Saint-Vincent-les-Forts,,,yes,takeoff,pitch,free_flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.4449989,44.042857,6.4447425,44.0424484,6.4449508,44.042184,6.4453594,44.0419116,6.4456078,44.0422721,6.4449989,44.042857",way/44523179,,,,,landing,,free_flying,,,,,,,,,,,,,,,,,heath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.4918465,43.9768299,6.4916555,43.9767997,6.4912487,43.9767985,6.4913595,43.976582,6.4915778,43.9761479,6.4917301,43.9761493,6.4918756,43.9761628,6.4920149,43.9761972,6.4921375,43.9762525,6.4922708,43.976352,6.4923223,43.9763911,6.4922818,43.976653,6.492252,43.9766867,6.492235,43.9767372,6.4922427,43.9767837,6.4919527,43.9769224,6.4919157,43.9768743,6.4918465,43.9768299",way/44523181,Décollage Chalvet Sud,,,yes,takeoff,,free_flying,,,,,,,,,,,,,,,,,heath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.1039751,45.5524188,6.105471,45.5522013,6.1056714,45.5521916,6.1057773,45.5525482,6.1056317,45.5527084,6.1058363,45.5528771,6.1056363,45.5530649,6.1057623,45.5531887,6.1051492,45.5534468,6.1049324,45.5535204,6.1043931,45.5536912,6.1041044,45.5528063,6.1039751,45.5524188",way/51057534,Décollage FFVL de Montlambert,73D015A,,yes,takeoff,pitch,free_flying,grass,,,,,yes,,yes,SE,no,FFVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.18915,46.1488565,6.188993,46.1486818,6.1889757,46.1486494,6.1890203,46.1486353,6.1890243,46.1485916,6.1889607,46.1484943,6.1890971,46.1484263,6.1893672,46.148752,6.18915,46.1488565",way/55739901,Décollage FFVL de la Table d'Orientation,,yes,yes,takeoff,pitch,free_flying,,,,,,yes,,yes,,no,FFVL,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.1808192,46.1608078,6.1806597,46.1607133,6.1808357,46.1605318,6.180929,46.1604489,6.1811956,46.1605963,6.1810625,46.1606915,6.1812725,46.160828,6.1816284,46.160985,6.1817226,46.1609174,6.1824053,46.1612467,6.1825312,46.1613074,6.1820614,46.1616731,6.1813961,46.1613518,6.1809189,46.1611214,6.1810986,46.1609766,6.1808192,46.1608078",way/60840057,Atterrissage de l'École,,,yes,landing,piste,free_flying,,,,meadow,,,,no,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.4652864,45.0228487,5.4648681,45.0228214,5.4650114,45.0224667,5.4653183,45.0225599,5.4654706,45.0227464,5.4652864,45.0228487",way/64902315,Pas de Saint-Martin,,,yes,takeoff,pitch,free_flying,,,https://intranet.ffvl.fr/sites_pratique/voir/1514,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
